step,attention,performance,stress,t,working_memory
1,0.4954,0.353,0.2894,1,0.4507
2,0.4874,0.3467,0.2822,2,0.4377
3,0.4841,0.3661,0.2725,3,0.4739
4,0.4825,0.3503,0.2679,4,0.4361
5,0.4764,0.3336,0.2676,5,0.4052
6,0.4682,0.3425,0.2656,6,0.4309
7,0.4582,0.3287,0.2667,7,0.4117
8,0.4544,0.3371,0.266,8,0.4333
9,0.4462,0.3404,0.2647,9,0.4474
10,0.444,0.3145,0.2688,10,0.3967
11,0.4417,0.3306,0.269,11,0.4345
12,0.4348,0.3099,0.2732,12,0.4002
13,0.4339,0.3063,0.2773,13,0.3973
14,0.4242,0.2851,0.2848,14,0.3677
15,0.422,0.297,0.2885,15,0.3998
16,0.4193,0.3096,0.2888,16,0.4306
17,0.4139,0.327,0.2857,17,0.4712
18,0.407,0.3146,0.2856,18,0.4507
19,0.4046,0.3101,0.2865,19,0.4441
20,0.4024,0.3042,0.2883,20,0.4352
21,0.3987,0.2716,0.2963,21,0.3752
22,0.3901,0.2565,0.3058,22,0.3601
23,0.3798,0.2382,0.317,23,0.3412
24,0.3694,0.2231,0.329,24,0.3303
25,0.3642,0.2157,0.34,25,0.3304
26,0.3561,0.1978,0.3525,26,0.3116
27,0.3467,0.217,0.3586,27,0.3693
28,0.341,0.2116,0.3645,28,0.3689
29,0.3305,0.2076,0.3701,29,0.3765
30,0.3197,0.1827,0.3795,30,0.3417
31,0.317,0.1796,0.3877,31,0.3458
32,0.3098,0.1748,0.3952,32,0.3499
33,0.3053,0.1744,0.4013,33,0.3597
34,0.2946,0.1302,0.415,34,0.2868
35,0.2845,0.1076,0.4305,35,0.2627
36,0.273,0.1198,0.4404,36,0.3111
37,0.2679,0.0954,0.4533,37,0.2753
38,0.2604,0.0783,0.4669,38,0.2589
39,0.2552,0.0675,0.4801,39,0.2533
40,0.2433,0.0416,0.4957,40,0.2239
41,0.234,0.0208,0.5124,41,0.2042
42,0.2246,0.0334,0.5233,42,0.2521
43,0.2131,0.0015,0.5383,43,0.2084
44,0.2073,0.0,0.5507,44,0.2089
45,0.1922,0.0,0.5605,45,0.1569
46,0.1771,0.0,0.5684,46,0.1777
47,0.1686,0.0,0.5747,47,0.1663
48,0.1528,0.0,0.5798,48,0.1491
49,0.1461,0.0,0.5838,49,0.1508
50,0.1392,0.0,0.5871,50,0.1822
51,0.1225,0.0,0.5897,51,0.1804
52,0.1126,0.0,0.5917,52,0.157
53,0.0984,0.0,0.5934,53,0.1476
54,0.0826,0.0,0.5947,54,0.1151
55,0.0703,0.0,0.5958,55,0.1426
56,0.0621,0.0,0.5966,56,0.0867
57,0.0502,0.0,0.5973,57,0.04
58,0.0424,0.0,0.5978,58,0.078
59,0.0284,0.0,0.5983,59,0.0721
60,0.0175,0.0,0.5986,60,0.0155
61,0.0082,0.0,0.5989,61,0.0165
62,0.0,0.0,0.5991,62,0.013
63,0.0,0.0,0.5993,63,0.0
64,0.0,0.0,0.5994,64,0.0429
65,0.0,0.0,0.5995,65,0.0589
66,0.0,0.0,0.5996,66,0.0
67,0.0,0.0,0.5997,67,0.0447
68,0.0,0.0,0.5998,68,0.0254
69,0.0,0.0,0.5998,69,0.0413
70,0.0,0.0,0.5999,70,0.0
71,0.0,0.0,0.5999,71,0.005
72,0.0,0.0,0.5999,72,0.0402
73,0.0,0.0,0.5999,73,0.0
74,0.0,0.0,0.5999,74,0.023
75,0.0,0.0,0.6,75,0.0
76,0.0,0.0,0.6,76,0.015
77,0.0,0.0,0.6,77,0.0108
78,0.0,0.0,0.6,78,0.0
79,0.0,0.0,0.6,79,0.0088
80,0.0,0.0,0.6,80,0.0
81,0.0,0.0,0.6,81,0.0131
82,0.0,0.0,0.6,82,0.0484
83,0.0,0.0,0.6,83,0.0
84,0.0,0.0,0.6,84,0.0169
85,0.0,0.0,0.6,85,0.0
86,0.0,0.0,0.6,86,0.0071
87,0.0,0.0,0.6,87,0.0327
88,0.0,0.0,0.6,88,0.0
89,0.0,0.0,0.6,89,0.0
90,0.0,0.0,0.6,90,0.0
91,0.0,0.0,0.6,91,0.0173
92,0.0,0.0,0.6,92,0.0
93,0.0,0.0,0.6,93,0.0
94,0.0,0.0,0.6,94,0.0
95,0.0,0.0,0.6,95,0.0
96,0.0,0.0,0.6,96,0.0
97,0.0,0.0,0.6,97,0.0423
98,0.0,0.0,0.6,98,0.0615
99,0.0,0.0,0.6,99,0.0
100,0.0,0.0,0.6,100,0.0336
101,0.0,0.0,0.6,101,0.0628
102,0.0,0.0,0.6,102,0.0043
103,0.0,0.0,0.6,103,0.0
104,0.0,0.0,0.6,104,0.0
105,0.0,0.0,0.6,105,0.0485
106,0.0,0.0,0.6,106,0.0575
107,0.0,0.0,0.6,107,0.0268
108,0.0,0.0,0.6,108,0.0656
109,0.0,0.0,0.6,109,0.0612
110,0.0,0.0,0.6,110,0.0164
111,0.0,0.0,0.6,111,0.0178
112,0.0,0.0,0.6,112,0.0355
113,0.0,0.0,0.6,113,0.0297
114,0.0,0.0,0.6,114,0.0531
115,0.0,0.0,0.6,115,0.0779
116,0.0,0.0,0.6,116,0.0153
117,0.0,0.0,0.6,117,0.0267
118,0.0,0.0,0.6,118,0.0
119,0.0,0.0,0.6,119,0.0
120,0.0,0.0,0.6,120,0.0119
121,0.0,0.0,0.6,121,0.0155
122,0.0,0.0,0.6,122,0.0528
123,0.0,0.0,0.6,123,0.0533
124,0.0,0.0,0.6,124,0.0216
125,0.0,0.0,0.6,125,0.0
126,0.0,0.0,0.6,126,0.0252
127,0.0,0.0,0.6,127,0.0109
128,0.0,0.0,0.6,128,0.0562
129,0.0,0.0,0.6,129,0.005
130,0.0,0.0,0.6,130,0.0463
131,0.0,0.0,0.6,131,0.0657
132,0.0,0.0,0.6,132,0.0052
133,0.0,0.0,0.6,133,0.0235
134,0.0,0.0,0.6,134,0.0628
135,0.0,0.0,0.6,135,0.0
136,0.0,0.0,0.6,136,0.0
137,0.0,0.0,0.6,137,0.0439
138,0.0,0.0,0.6,138,0.0
139,0.0,0.0,0.6,139,0.0053
140,0.0,0.0,0.6,140,0.0137
141,0.0,0.0,0.6,141,0.0
142,0.0,0.0,0.6,142,0.0
143,0.0,0.0,0.6,143,0.0405
144,0.0,0.0,0.6,144,0.0
145,0.0,0.0,0.6,145,0.0
146,0.0,0.0,0.6,146,0.0271
147,0.0,0.0,0.6,147,0.0
148,0.0,0.0,0.6,148,0.0052
149,0.0,0.0,0.6,149,0.0
150,0.0,0.0,0.6,150,0.0383
151,0.0,0.0,0.6,151,0.0275
152,0.0,0.0,0.6,152,0.0248
153,0.0,0.0,0.6,153,0.0
154,0.0,0.0,0.6,154,0.0399
155,0.0,0.0,0.6,155,0.06
