step,agent_id,attention,destination,emissions_total_g,location,modal_share,mode,performance,stress,t,working_memory
1,agent_1,0.4954,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.353,0.2894,1,0.4507
1,agent_2,0.4894,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3824,0.2835,1,0.5154
1,agent_3,0.4931,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3773,0.2845,1,0.5014
1,agent_4,0.4917,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3736,0.2853,1,0.4955
1,agent_5,0.4979,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3735,0.2853,1,0.4892
1,agent_6,0.4925,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3713,0.2857,1,0.49
1,agent_7,0.4945,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3577,0.2885,1,0.461
1,agent_8,0.4897,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3684,0.2863,1,0.4872
1,agent_9,0.494,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3641,0.2872,1,0.4742
1,agent_10,0.4914,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3741,0.2852,1,0.4968
1,agent_11,0.4988,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3569,0.2886,1,0.455
1,agent_12,0.4952,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3961,0.2808,1,0.5371
1,,,,0.0,,{'bike': 12},,,,,
2,agent_1,0.4874,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3467,0.2822,2,0.4377
2,agent_2,0.4802,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3754,0.2717,2,0.4975
2,agent_3,0.491,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3642,0.2748,2,0.4649
2,agent_4,0.4818,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3638,0.2755,2,0.4739
2,agent_5,0.4931,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3958,0.2691,2,0.5267
2,agent_6,0.4863,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3653,0.2755,2,0.4729
2,agent_7,0.4908,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3566,0.2794,2,0.4531
2,agent_8,0.48,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3803,0.273,2,0.5095
2,agent_9,0.4896,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3572,0.2783,2,0.4546
2,agent_10,0.4824,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3887,0.2704,2,0.5231
2,agent_11,0.4953,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3669,0.2775,2,0.4695
2,agent_12,0.4891,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.4018,0.2643,2,0.539
2,,,,0.0,,{'bike': 12},,,,,
3,agent_1,0.4841,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3661,0.2725,3,0.4739
3,agent_2,0.4764,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3887,0.2596,3,0.5184
3,agent_3,0.4828,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.344,0.2711,3,0.425
3,agent_4,0.472,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.338,0.2728,3,0.4243
3,agent_5,0.485,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3906,0.2571,3,0.5116
3,agent_6,0.481,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3629,0.2678,3,0.4654
3,agent_7,0.4896,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3515,0.2732,3,0.437
3,agent_8,0.4747,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3534,0.2677,3,0.4506
3,agent_9,0.4838,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3872,0.2652,3,0.5133
3,agent_10,0.4743,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3834,0.2597,3,0.5088
3,agent_11,0.4941,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3711,0.2678,3,0.47
3,agent_12,0.4882,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3988,0.2517,3,0.5208
3,,,,0.0,,{'bike': 12},,,,,
4,agent_1,0.4825,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3503,0.2679,4,0.4361
4,agent_2,0.4708,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3811,0.2515,4,0.4992
4,agent_3,0.4735,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.326,0.2717,4,0.3953
4,agent_4,0.4644,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3242,0.2734,4,0.4021
4,agent_5,0.4807,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.4094,0.2438,4,0.5439
4,agent_6,0.471,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3581,0.2626,4,0.4595
4,agent_7,0.4868,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3458,0.2694,4,0.4235
4,agent_8,0.4648,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3652,0.2611,4,0.4799
4,agent_9,0.4743,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3708,0.258,4,0.4795
4,agent_10,0.4733,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.375,0.2527,4,0.4844
4,agent_11,0.493,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3619,0.2619,4,0.4451
4,agent_12,0.4855,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.4068,0.24,4,0.5295
4,,,,0.0,,{'bike': 12},,,,,
5,agent_1,0.4764,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3336,0.2676,5,0.4052
5,agent_2,0.4609,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3684,0.2475,5,0.4771
5,agent_3,0.4646,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3359,0.2701,5,0.4244
5,agent_4,0.4571,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3434,0.27,5,0.4484
